"LSOA11CD","PCN_Code","PCN_Name","Patients","Proportion_residents_to_PCN"
"E01016849","U46447","Goldstone PCN",1693,0.836049382716049
"E01016850","U46447","Goldstone PCN",1624,0.727272727272727
"E01016851","U46447","Goldstone PCN",1842,0.815766164747564
"E01016852","U46447","Goldstone PCN",1652,0.804284323271665
"E01016853","U46447","Goldstone PCN",1894,0.847806624888093
"E01016854","U46447","Goldstone PCN",1577,0.75563009103977
"E01016855","U46447","Goldstone PCN",1683,0.896166134185304
"E01016856","U46447","Goldstone PCN",1771,0.822191272051996
"E01016857","U46447","Goldstone PCN",1595,0.84525702172761
"E01016858","U46447","Goldstone PCN",1488,0.866123399301513
"E01016859","U46447","Goldstone PCN",1897,0.898626243486499
"E01016860","U46447","Goldstone PCN",1727,0.879775853285787
"E01016861","U29677","East & Central Brighton PCN",1500,0.795755968169761
"E01016862","U29677","East & Central Brighton PCN",1321,0.838730158730159
"E01016863","U29677","East & Central Brighton PCN",1573,0.844337090713902
"E01016864","U29677","East & Central Brighton PCN",1603,0.939624853458382
"E01016865","U29677","East & Central Brighton PCN",1587,0.942959001782531
"E01016866","U29677","East & Central Brighton PCN",1642,0.957434402332362
"E01016867","U29677","East & Central Brighton PCN",1290,0.86635325721961
"E01016868","U29677","East & Central Brighton PCN",1681,0.940682708449916
"E01016869","U29677","East & Central Brighton PCN",2032,0.899911426040744
"E01016870","U46447","Goldstone PCN",1526,0.820871436256052
"E01016871","U46447","Goldstone PCN",1907,0.866030881017257
"E01016872","U46447","Goldstone PCN",1740,0.868696954568148
"E01016873","U46447","Goldstone PCN",1782,0.863790596219098
"E01016874","U46447","Goldstone PCN",2059,0.888265746333046
"E01016875","U46447","Goldstone PCN",1284,0.682978723404255
"E01016876","U46447","Goldstone PCN",1434,0.652114597544338
"E01016877","U46447","Goldstone PCN",1988,0.802583770690351
"E01016878","U46447","Goldstone PCN",1857,0.858529819694868
"E01016879","U14062","West Hove PCN",1112,0.680122324159021
"E01016880","U14062","West Hove PCN",1077,0.700260078023407
"E01016881","U14062","West Hove PCN",1144,0.671361502347418
"E01016882","U14062","West Hove PCN",1070,0.632761679479598
"E01016883","U14062","West Hove PCN",1108,0.697732997481108
"E01016884","U14062","West Hove PCN",1121,0.605291576673866
"E01016885","U46447","Goldstone PCN",785,0.513743455497382
"E01016886","U14062","West Hove PCN",1093,0.669320269442743
"E01016887","U14062","West Hove PCN",1138,0.711694809255785
"E01016888","U14062","West Hove PCN",837,0.495559502664298
"E01016889","U29677","East & Central Brighton PCN",1127,0.603642206748795
"E01016890","U29677","East & Central Brighton PCN",1099,0.510450534138412
"E01016891","U29677","East & Central Brighton PCN",1161,0.59386189258312
"E01016892","U29677","East & Central Brighton PCN",987,0.550167224080268
"E01016893","U29677","East & Central Brighton PCN",921,0.469658337582866
"E01016894","U29677","East & Central Brighton PCN",1443,0.69142309535218
"E01016895","U29677","East & Central Brighton PCN",1085,0.574074074074074
"E01016896","U29677","East & Central Brighton PCN",994,0.550387596899225
"E01016897","U29677","East & Central Brighton PCN",909,0.479936642027455
"E01016898","U55014","North & Central Brighton PCN",2038,0.687816402294971
"E01016899","U55014","North & Central Brighton PCN",8875,0.939949163312857
"E01016900","U22426","Dean's and Central Brighton PCN",638,0.336497890295359
"E01016901","U09072","Preston Park Community PCN",1077,0.566842105263158
"E01016902","U09072","Preston Park Community PCN",824,0.447826086956522
"E01016903","U09072","Preston Park Community PCN",1294,0.597966728280961
"E01016904","U29677","East & Central Brighton PCN",721,0.308515190415062
"E01016905","U09072","Preston Park Community PCN",732,0.403083700440529
"E01016906","U22426","Dean's and Central Brighton PCN",1109,0.613045881702598
"E01016907","U22426","Dean's and Central Brighton PCN",928,0.480082772891878
"E01016908","U22426","Dean's and Central Brighton PCN",983,0.546111111111111
"E01016909","U22426","Dean's and Central Brighton PCN",776,0.406070120355835
"E01016910","U22426","Dean's and Central Brighton PCN",609,0.408724832214765
"E01016911","U22426","Dean's and Central Brighton PCN",969,0.609050911376493
"E01016912","U29677","East & Central Brighton PCN",817,0.355526544821584
"E01016913","U29677","East & Central Brighton PCN",700,0.388888888888889
"E01016914","U55014","North & Central Brighton PCN",1387,0.425068954949433
"E01016915","U22426","Dean's and Central Brighton PCN",863,0.478646699944537
"E01016916","U14062","West Hove PCN",1606,0.914058053500285
"E01016917","U14062","West Hove PCN",1322,0.920612813370474
"E01016918","U14062","West Hove PCN",1419,0.932325886990802
"E01016919","U14062","West Hove PCN",1068,0.747375787263821
"E01016920","U14062","West Hove PCN",1311,0.829222011385199
"E01016921","U14062","West Hove PCN",1483,0.870305164319249
"E01016922","U14062","West Hove PCN",1194,0.87280701754386
"E01016923","U09072","Preston Park Community PCN",1219,0.705031810294968
"E01016924","U09072","Preston Park Community PCN",1115,0.689975247524752
"E01016925","U09072","Preston Park Community PCN",977,0.557012542759407
"E01016926","U09072","Preston Park Community PCN",921,0.520927601809955
"E01016927","U09072","Preston Park Community PCN",1061,0.595064498037016
"E01016928","U09072","Preston Park Community PCN",1247,0.688950276243094
"E01016929","U09072","Preston Park Community PCN",1131,0.662177985948478
"E01016930","U09072","Preston Park Community PCN",1527,0.70957249070632
"E01016931","U09072","Preston Park Community PCN",1226,0.715285880980163
"E01016932","U09072","Preston Park Community PCN",1475,0.820812465219811
"E01016933","U09072","Preston Park Community PCN",1356,0.832412523020258
"E01016934","U09072","Preston Park Community PCN",1270,0.856372218476062
"E01016935","U09072","Preston Park Community PCN",1153,0.621563342318059
"E01016936","U09072","Preston Park Community PCN",1015,0.511592741935484
"E01016937","U09072","Preston Park Community PCN",1845,0.662715517241379
"E01016938","U55014","North & Central Brighton PCN",777,0.363593823116518
"E01016939","U09072","Preston Park Community PCN",1445,0.827132226674299
"E01016940","U09072","Preston Park Community PCN",1636,0.873465029364656
"E01016941","U29677","East & Central Brighton PCN",2000,0.757002271006813
"E01016942","U29677","East & Central Brighton PCN",2098,0.892006802721088
"E01016943","U29677","East & Central Brighton PCN",1224,0.745432399512789
"E01016944","U29677","East & Central Brighton PCN",1336,0.752676056338028
"E01016945","U29677","East & Central Brighton PCN",1497,0.746633416458853
"E01016946","U29677","East & Central Brighton PCN",871,0.520310633213859
"E01016947","U29677","East & Central Brighton PCN",2371,0.738399252569293
"E01016948","U29677","East & Central Brighton PCN",1204,0.601098352471293
"E01016949","U29677","East & Central Brighton PCN",1573,0.766195811008281
"E01016950","U55014","North & Central Brighton PCN",1268,0.606698564593301
"E01016951","U55014","North & Central Brighton PCN",925,0.44578313253012
"E01016952","U22426","Dean's and Central Brighton PCN",1052,0.365150989239847
"E01016953","U55014","North & Central Brighton PCN",1118,0.545632015617374
"E01016954","U46447","Goldstone PCN",1115,0.50543970988214
"E01016955","U46447","Goldstone PCN",932,0.370871468364505
"E01016956","U22426","Dean's and Central Brighton PCN",1443,0.913291139240506
"E01016957","U29677","East & Central Brighton PCN",1763,0.65417439703154
"E01016958","U22426","Dean's and Central Brighton PCN",1751,0.924986793449551
"E01016959","U22426","Dean's and Central Brighton PCN",1445,0.878953771289538
"E01016960","U22426","Dean's and Central Brighton PCN",1559,0.831466666666667
"E01016961","U22426","Dean's and Central Brighton PCN",1977,0.92296918767507
"E01016962","U22426","Dean's and Central Brighton PCN",839,0.451075268817204
"E01016963","U29677","East & Central Brighton PCN",1680,0.845495722194263
"E01016964","U29677","East & Central Brighton PCN",1961,0.535499726925177
"E01016966","U29677","East & Central Brighton PCN",1261,0.635905194150277
"E01016967","U55014","North & Central Brighton PCN",1126,0.519612367328103
"E01016968","U55014","North & Central Brighton PCN",860,0.473307649972482
"E01016969","U29677","East & Central Brighton PCN",842,0.348365742656185
"E01016970","U09072","Preston Park Community PCN",716,0.417006406523005
"E01016971","U29677","East & Central Brighton PCN",1091,0.524015369836695
"E01016972","U09072","Preston Park Community PCN",865,0.548162230671736
"E01016973","U14062","West Hove PCN",1307,0.780764635603345
"E01016974","U14062","West Hove PCN",1829,0.844413665743306
"E01016975","U14062","West Hove PCN",1642,0.885175202156334
"E01016976","U14062","West Hove PCN",1144,0.648893930799773
"E01016977","U14062","West Hove PCN",1353,0.759685569904548
"E01016978","U14062","West Hove PCN",1344,0.733224222585925
"E01016979","U46447","Goldstone PCN",1473,0.718536585365854
"E01016980","U46447","Goldstone PCN",1320,0.720917531403605
"E01016981","U46447","Goldstone PCN",1098,0.597063621533442
"E01016982","U46447","Goldstone PCN",859,0.598606271777003
"E01016983","U46447","Goldstone PCN",939,0.552678045909358
"E01016984","U46447","Goldstone PCN",956,0.556461001164144
"E01016985","U46447","Goldstone PCN",1040,0.590238365493757
"E01016986","U46447","Goldstone PCN",1331,0.734547461368653
"E01016987","U46447","Goldstone PCN",1186,0.580803134182174
"E01016988","U46447","Goldstone PCN",1399,0.809138230190862
"E01016989","U46447","Goldstone PCN",1011,0.631480324797002
"E01016990","U46447","Goldstone PCN",1417,0.764705882352941
"E01016991","U46447","Goldstone PCN",1515,0.762455963764469
"E01016992","U14062","West Hove PCN",1107,0.58695652173913
"E01016993","U14062","West Hove PCN",978,0.611632270168856
"E01016994","U14062","West Hove PCN",1276,0.671578947368421
"E01016995","U14062","West Hove PCN",943,0.529775280898876
"E01016996","U46447","Goldstone PCN",1113,0.485814054997818
"E01016997","U14062","West Hove PCN",1147,0.624387588459445
"E01016998","U09072","Preston Park Community PCN",1224,0.74679682733374
"E01016999","U09072","Preston Park Community PCN",1173,0.710478497880073
"E01017000","U09072","Preston Park Community PCN",1596,0.777777777777778
"E01017001","U09072","Preston Park Community PCN",1405,0.824046920821114
"E01017002","U09072","Preston Park Community PCN",1468,0.73991935483871
"E01017003","U09072","Preston Park Community PCN",1402,0.843054720384847
"E01017004","U09072","Preston Park Community PCN",1506,0.824302134646962
"E01017005","U09072","Preston Park Community PCN",1307,0.713817586018569
"E01017006","U09072","Preston Park Community PCN",1300,0.728699551569507
"E01017007","U29677","East & Central Brighton PCN",1570,0.925707547169811
"E01017008","U29677","East & Central Brighton PCN",1599,0.925347222222222
"E01017009","U29677","East & Central Brighton PCN",1325,0.862630208333333
"E01017010","U29677","East & Central Brighton PCN",1633,0.879375336564351
"E01017011","U29677","East & Central Brighton PCN",1291,0.894663894663895
"E01017012","U29677","East & Central Brighton PCN",1541,0.804279749478079
"E01020910","U52868","Alps Group PCN",1679,0.665477606024574
"E01020911","U42972","Victoria Eastbourne PCN",1528,0.531478260869565
"E01020912","U52868","Alps Group PCN",1550,0.513415038092083
"E01020913","U48056","Eastbourne East PCN",1614,0.631949882537197
